Source,Target,Date,Preuves,Mea Culpa ?
Erik Feig,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Erin Foster,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Eugene Levy,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Eugénie Bastié,Manif pour tous,,,
Evan Jonigkeit,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Evan Winiker,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ewan McGregor,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ezra Miller,"Viols, agressions sexuelles, enlèvement et séquestration",,,
Faiza Zekhnini,Manif pour tous,,,
Florent Pagny,Fraude fiscale mais profite du système français,2011-2023,Ma liberté de penser,
Florian Philippot,Racisme,,,
Floyd Mayweather,Violence et agression sexual,2003-2015,https://www.cosmopolitan.com/entertainment/news/a39959/floyd-mayweathers-history-of-violence/,
Francis Benhamou,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Francis Lawrence,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
François Bayrou,Fraude,,,
François Bayrou,Soutien de Macron,,,
François de Rugy,Fraude,,,
François Fillon,Fraude,,,
François Hollande,A créé Macron,,,
François Theurieu,Agressions sexuelles,,,
Fred Raskin,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Frédéric Mitterrand,Viol sur mineur,,,
Frigide Barjot (née Virginie Tellenne),Manif pour tous,,,
Gabe Turner,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gabriel Matzneff,Apologie de la pédocriminalité,1974,https://fr.wikipedia.org/wiki/Gabriel_Matzneff#Apologie_de_la_p%C3%A9docriminalit%C3%A9,
Gail Berman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gal Gadot,Anti-Palestine,10/2023,https://www.instagram.com/p/CyJnbY8tfp_/?ig_rid=31346a3f-e324-42de-b34f-9157f29b551c,
Gal Gadot,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gandhi,Racisme,,,
Ganesh 2,VSS ?,,,
